Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,KO,PEP,KO,PEP,KO,PEP,KO,PEP,KO,PEP
Date,,,,,,,,,,
2012-08-17,26.582849502563477,50.6364631652832,26.717344578348854,50.81585529913824,26.40800769973863,50.450175180747394,26.670271686616,50.76065690964313,10541000,6204700
2012-08-20,26.542505264282227,50.595062255859375,26.623201291207835,50.70545376047911,26.401284010561856,50.28457529210058,26.589578160428868,50.55366083562027,9211800,3356800
2012-08-21,26.401275634765625,50.3742790222168,26.690439085232523,50.6985629824926,26.381102275754326,50.367377907485256,26.502147560381385,50.57436923736587,8329000,3917900
2012-08-22,26.071760177612305,50.29148864746094,26.39454668271391,50.422583526113506,26.01796114412248,49.994803839569116,26.320574294304958,50.201795199124874,13479200,4331800
2012-08-23,25.6279239654541,50.1328125,26.11882851711048,50.36049673622504,25.567401345919553,50.02241567660945,26.098655165691852,50.3328975303774,14973300,3832100
2012-08-24,25.870019912719727,50.40876388549805,25.923816382968624,50.54675983221325,25.601029865637624,50.077584141395825,25.601029865637624,50.1327825200819,9317800,3989900
2012-08-27,25.66827392578125,50.48466110229492,25.93054035390025,50.822747228845486,25.634650814056968,50.3190712277441,25.93054035390025,50.37426960726344,9589400,3472200
2012-08-28,25.5539608001709,50.450172424316406,25.769151843792073,50.60886120543443,25.39929239789815,50.29837949350239,25.648106561095215,50.381171809213406,16148800,4387400
2012-08-29,25.19081687927246,50.2155876159668,25.58757571979109,50.532970478250824,25.137020418246912,50.18109256850611,25.58757571979109,50.38807864529562,23435400,3770500
2012-08-30,24.975627899169922,49.80160140991211,25.305140548401855,50.077588060936684,24.968904302984317,49.73260606315785,25.137022425693086,50.029290791807945,17041800,3881300
2012-08-31,25.150470733642578,49.974098205566406,25.271515980238025,50.201787613873165,24.982352620624322,49.80850830134702,25.157194329440625,49.98099932024459,20710300,5234100
